movie;type;word;minutes_in;%
Reservoir Dogs;word;fucking;42.03;0.424545455
Reservoir Dogs;word;bitch;42.11;0.425353535
Reservoir Dogs;word;bitch;42.13;0.425555556
Reservoir Dogs;word;shit;42.16;0.425858586
Reservoir Dogs;word;fuck;42.55;0.42979798
Reservoir Dogs;word;motherfucker;42.56;0.42989899
Reservoir Dogs;word;fucker;42.6;0.43030303
Reservoir Dogs;word;shitty;42.66;0.430909091
Reservoir Dogs;word;asshead;42.86;0.432929293
Reservoir Dogs;word;fucking;43.06;0.434949495
Reservoir Dogs;word;fucking;43.31;0.437474747
Reservoir Dogs;word;shit;43.35;0.437878788
Reservoir Dogs;word;fuck;42.7;0.431313131
Reservoir Dogs;word;fuck;42.71;0.431414141
Reservoir Dogs;word;shit;43.86;0.443030303
Reservoir Dogs;word;fucking;44;0.444444444
Reservoir Dogs;word;shit;44.03;0.444747475
Reservoir Dogs;word;fucked;44.65;0.451010101
Reservoir Dogs;word;fuck;44.9;0.453535354
Reservoir Dogs;word;fucking;45.26;0.457171717
Reservoir Dogs;word;damn;45.4;0.458585859
Reservoir Dogs;word;fucking;46.48;0.469494949
Reservoir Dogs;word;fuck;46.53;0.47
Reservoir Dogs;word;fucking;46.65;0.471212121
Reservoir Dogs;word;fucking;46.66;0.471313131
Reservoir Dogs;word;fuck;47.5;0.47979798
Reservoir Dogs;word;fucking;47.51;0.47989899
Reservoir Dogs;word;fucking;47.55;0.48030303
Reservoir Dogs;word;fucking;47.7;0.481818182
Reservoir Dogs;word;fucking;47.71;0.481919192
Reservoir Dogs;word;fucking;47.73;0.482121212
Reservoir Dogs;word;fucking;47.75;0.482323232
Reservoir Dogs;word;fucking;47.8;0.482828283
Reservoir Dogs;word;fucking;47.88;0.483636364
Reservoir Dogs;word;shit;47.98;0.484646465
Reservoir Dogs;word;fucking;48.08;0.485656566
Reservoir Dogs;word;bullshit;48.15;0.486363636
Reservoir Dogs;word;fuck;48.16;0.486464646
Reservoir Dogs;word;fucking;48.25;0.487373737
Reservoir Dogs;word;fucking;48.26;0.487474747
Reservoir Dogs;word;hell;48.31;0.487979798
Reservoir Dogs;word;fucking;48.38;0.488686869
Reservoir Dogs;word;fucking;48.48;0.48969697
Reservoir Dogs;word;assholes;48.48;0.48969697
Reservoir Dogs;word;asshole;48.51;0.49
Reservoir Dogs;word;fucking;48.55;0.49040404
Reservoir Dogs;word;fucking;48.56;0.490505051
Reservoir Dogs;word;fucking;48.58;0.490707071
Reservoir Dogs;word;fucking;48.61;0.491010101
Reservoir Dogs;word;fucking;48.78;0.492727273
Reservoir Dogs;word;fucking;48.98;0.494747475
Reservoir Dogs;word;fucking;49.06;0.495555556
Reservoir Dogs;word;fucking;49.15;0.496464646
Reservoir Dogs;word;bastard;49.61;0.501111111
Reservoir Dogs;word;fuck;49.68;0.501818182
Reservoir Dogs;word;fucking;49.7;0.502020202
Reservoir Dogs;word;goddamn;49.75;0.502525253
Reservoir Dogs;word;fucking;49.8;0.503030303
Reservoir Dogs;word;fucking;49.9;0.504040404
Reservoir Dogs;word;fucking;49.98;0.504848485
Reservoir Dogs;word;fucking;50.51;0.51020202
Reservoir Dogs;word;bastard;50.68;0.511919192
Reservoir Dogs;word;fucking;50.76;0.512727273
Reservoir Dogs;word;motherfucker;50.91;0.514242424
Reservoir Dogs;word;fucking;51.08;0.515959596
Reservoir Dogs;word;fucking;51.36;0.518787879
Reservoir Dogs;word;fucking;51.51;0.52030303
Reservoir Dogs;word;fuck;51.88;0.524040404
Reservoir Dogs;word;fucking;51.98;0.525050505
Reservoir Dogs;word;fucking;53.28;0.538181818
Reservoir Dogs;word;shit;53.43;0.53969697
Reservoir Dogs;word;bitch;53.93;0.544747475
Reservoir Dogs;word;bullshit;54.25;0.547979798
Reservoir Dogs;word;fuck;54.3;0.548484848
Reservoir Dogs;word;fuck;56.73;0.573030303
Reservoir Dogs;death;;59.93;0.605353535
Reservoir Dogs;word;shit;61;0.616161616
Reservoir Dogs;word;shit;62.15;0.627777778
Reservoir Dogs;word;fuck;62.28;0.629090909
Reservoir Dogs;word;fuck;62.83;0.634646465
Reservoir Dogs;word;fuck;62.91;0.635454545
Reservoir Dogs;word;fucking;62.95;0.635858586
Reservoir Dogs;word;bastard;62.95;0.635858586
Reservoir Dogs;word;fuck;63.15;0.637878788
Reservoir Dogs;word;fucking;63.21;0.638484848
Reservoir Dogs;word;fucking;63.26;0.638989899
Reservoir Dogs;word;fucking;63.3;0.639393939
Reservoir Dogs;word;fuck;63.33;0.63969697
Reservoir Dogs;word;fuck;63.35;0.63989899
Reservoir Dogs;word;fucking;63.38;0.64020202
Reservoir Dogs;word;fucking;62.41;0.63040404
Reservoir Dogs;word;pussy;63.81;0.644545455
Reservoir Dogs;word;fucking;63.91;0.645555556
Reservoir Dogs;word;motherfucker;64.31;0.64959596
Reservoir Dogs;word;ass;64.46;0.651111111
Reservoir Dogs;word;goddamn;64.75;0.654040404
Reservoir Dogs;word;fucking;64.76;0.654141414
Reservoir Dogs;word;motherfucker;65.15;0.658080808
Reservoir Dogs;word;ass;65.65;0.663131313
Reservoir Dogs;word;damned;65.73;0.663939394
Reservoir Dogs;word;motherfucker;65.76;0.664242424
Reservoir Dogs;word;ass;65.76;0.664242424
Reservoir Dogs;word;fucking;66.05;0.667171717
Reservoir Dogs;word;fucking;66.35;0.67020202
Reservoir Dogs;word;fucking;66.36;0.67030303
Reservoir Dogs;word;fucking;66.46;0.671313131
Reservoir Dogs;word;fucking;66.5;0.671717172
Reservoir Dogs;word;ass;66.5;0.671717172
Reservoir Dogs;word;hell;66.96;0.676363636
Reservoir Dogs;word;bullshit;67.03;0.677070707
Reservoir Dogs;word;fucking;67.21;0.678888889
Reservoir Dogs;word;fucking;67.28;0.67959596
Reservoir Dogs;word;shit;67.3;0.67979798
Reservoir Dogs;word;fucking;67.48;0.681616162
Reservoir Dogs;word;shit;67.88;0.685656566
Reservoir Dogs;word;motherfucker;68.01;0.686969697
Reservoir Dogs;word;fucking;68.66;0.693535354
Reservoir Dogs;word;fucking;69.25;0.699494949
Reservoir Dogs;word;fuck;69.28;0.69979798
Reservoir Dogs;word;shit;69.3;0.7
Reservoir Dogs;word;bitch;69.31;0.70010101
Reservoir Dogs;word;shit;69.35;0.700505051
Reservoir Dogs;word;ass;69.46;0.701616162
Reservoir Dogs;word;fucking;69.48;0.701818182
Reservoir Dogs;word;fucking;69.51;0.702121212
Reservoir Dogs;word;fucking;69.53;0.702323232
Reservoir Dogs;word;motherfucker;69.61;0.703131313
Reservoir Dogs;word;shit;69.78;0.704848485
Reservoir Dogs;word;fucking;69.86;0.705656566
Reservoir Dogs;word;ass;69.88;0.705858586
Reservoir Dogs;word;fucking;70.06;0.707676768
Reservoir Dogs;word;fucking;71.63;0.723535354
Reservoir Dogs;word;fuck;71.95;0.726767677
Reservoir Dogs;word;fucking;72.16;0.728888889
Reservoir Dogs;word;fucking;72.4;0.731313131
Reservoir Dogs;word;asshole;72.58;0.733131313
Reservoir Dogs;word;fucking;72.61;0.733434343
